,household_id,person_id,survey_year,seattle_home,sample_county,hhsize,vehicle_count,hhincome_broad,hhincome_detailed,rent_own,numchildren,age,gender,employment,student,education,license,race_category,hh_race_category,commute_freq,prev_res_factors_housing_cost,prev_res_factors_income_change,prev_res_factors_community_chan,prev_res_factors_hh_size,prev_res_factors_more_space,prev_res_factors_less_space,prev_res_factors_employment,prev_res_factors_school,prev_res_factors_crime,prev_res_factors_quality,prev_res_factors_forced,prev_res_factors_no_answer,prev_res_factors_other,prev_res_factors_specify,res_factors_30min,res_factors_afford,res_factors_closefam,res_factors_hhchange,res_factors_hwy,res_factors_school,res_factors_space,res_factors_transit,res_factors_walk,home_fd,med_trav_time,pref_modes,diversity_food_cat,pct_fast_food,med_price,med_rating,rest_empl_pop,med_rest_inc,dist_from_home,rest:non_rest,nonrest_purp,meal
10,17102280,1710228001,2017,Home not in Seattle,Pierce,1 person,0 (no vehicles),Prefer not to answer,Prefer not to answer,Rent,0,65-74 years,Female,Not currently employed,"No, not a student",Some college,"No, does not have a license or permit",White Only,White Only,,,,,,,,,,,,,,,,Very important,Somewhat important,Somewhat important,Neither or N/A,Neither or N/A,Neither or N/A,Neither or N/A,Very important,Very important,False,17.5,Walk,2.0,0.0,2.0,3.35,10590.0,30809.0,0.3753938854372287,1.0,Home,Lunch
11,17102289,1710228901,2017,Home in Seattle,King,4 people,2 vehicles,"$100,000 or more","$100,000-$149,999",Own/paying mortgage,0,25-34 years,Female,"Employed part time (fewer than 35 hours/week, paid)","No, not a student",Graduate/post-graduate degree,"Yes, has an intermediate or unrestricted license",White Only,White Only,4 days a week,,,,,,,,,,,,,,,Very important,Very important,Very unimportant,Somewhat important,Somewhat important,Very unimportant,Somewhat important,Very important,Somewhat important,False,10.0,HOV,2.0,0.0,2.0,4.15,3530.0,26413.0,1.3482330109851564,0.3333333333333333,Home,Lunch
12,17102289,1710228904,2017,Home in Seattle,King,4 people,2 vehicles,"$100,000 or more","$100,000-$149,999",Own/paying mortgage,0,65-74 years,Male,Retired,"No, not a student",Bachelor degree,"Yes, has an intermediate or unrestricted license",White Only,White Only,,,,,,,,,,,,,,,,Very important,Very important,Very unimportant,Somewhat important,Somewhat important,Very unimportant,Somewhat important,Very important,Somewhat important,False,10.0,HOV,2.0,0.0,1.5,4.35,3530.0,26413.0,1.3482330109851564,0.5,Home,Lunch
13,17102387,1710238701,2017,Home in Seattle,King,2 people,1 vehicle,"$25,000-$49,999","$25,000-$34,999",Rent,1,25-34 years,Female,"Employed full time (35+ hours/week, paid)","No, not a student",Some college,"Yes, has an intermediate or unrestricted license",African American,African American,Less than monthly,,,,,,,,,,,,,,,Neither or N/A,Very important,Neither or N/A,Neither or N/A,Somewhat important,Very important,Neither or N/A,Very important,Very important,False,5.0,HOV,1.0,0.0,2.0,4.35,387.5,134107.0,0.5730508289776719,0.25,Escort,Other
14,17102387,1710238702,2017,Home in Seattle,King,2 people,1 vehicle,"$25,000-$49,999","$25,000-$34,999",Rent,1,5-11 years,Male,,,,,Child,African American,,,,,,,,,,,,,,,,Neither or N/A,Very important,Neither or N/A,Neither or N/A,Somewhat important,Very important,Neither or N/A,Very important,Very important,False,5.0,HOV,1.0,0.0,2.0,4.3,387.5,134107.0,0.5730508289776719,0.6666666666666666,School,Other
15,17102398,1710239801,2017,Home in Seattle,King,1 person,0 (no vehicles),"$25,000-$49,999","$25,000-$34,999",Rent,0,25-34 years,Female,"Employed full time (35+ hours/week, paid)","No, not a student",Graduate/post-graduate degree,"Yes, has an intermediate or unrestricted license",White Only,White Only,5 days a week,,,,,,,,,,,,,,,Somewhat important,Very important,Neither or N/A,Neither or N/A,Somewhat unimportant,Very unimportant,Somewhat unimportant,Very important,Neither or N/A,False,43.0,HOV,4.0,0.1,1.0,3.6500000000000004,3530.0,40938.0,6.457277198500709,0.43478260869565216,Social/Recreation,Dinner
16,17102408,1710240801,2017,Home in Seattle,King,2 people,1 vehicle,"$50,000-$74,999","$50,000-$74,999",Rent,0,25-34 years,Female,"Employed full time (35+ hours/week, paid)","No, not a student",Bachelor degree,"Yes, has an intermediate or unrestricted license",White Only,Hispanic,5 days a week,,,,,,,,,,,,,,,Very important,Somewhat important,Neither or N/A,Somewhat important,Neither or N/A,Neither or N/A,Somewhat unimportant,Very important,Very important,False,12.5,HOV,3.0,0.3333333333333333,1.5,2.8,41682.0,92347.0,2.670051827984132,0.375,Home,Dinner
17,17102408,1710240802,2017,Home in Seattle,King,2 people,1 vehicle,"$50,000-$74,999","$50,000-$74,999",Rent,0,25-34 years,Male,"Employed full time (35+ hours/week, paid)","No, not a student",High school graduate,"Yes, has an intermediate or unrestricted license",Hispanic,Hispanic,5 days a week,,,,,,,,,,,,,,,Very important,Somewhat important,Neither or N/A,Somewhat important,Neither or N/A,Neither or N/A,Somewhat unimportant,Very important,Very important,False,9.0,HOV,5.0,0.4,1.0,3.2,9791.0,82892.0,1.5677151149033024,0.24390243902439024,Home,Dinner
18,17102449,1710244901,2017,Home in Seattle,King,2 people,2 vehicles,"Under $25,000","$10,000-$24,999",Own/paying mortgage,0,55-64 years,Female,Self-employed,"No, not a student",Bachelor degree,"Yes, has an intermediate or unrestricted license",White Only,White Only,,,,,,,,,,,,,,,,Somewhat important,Somewhat important,Somewhat important,Somewhat unimportant,Neither or N/A,Neither or N/A,Somewhat important,Somewhat important,Somewhat important,False,42.5,Transit,3.0,0.25,2.0,4.1,4176.0,92752.0,9.348503170550902,2.0,Home,Lunch
19,17100501,1710050101,2017,Home in Seattle,King,1 person,0 (no vehicles),"$50,000-$74,999","$50,000-$74,999",Rent,0,25-34 years,Female,"Employed full time (35+ hours/week, paid)","No, not a student",Bachelor degree,"Yes, has an intermediate or unrestricted license",White Only,White Only,5 days a week,,,,,,,,,,,,,,,Somewhat unimportant,Somewhat important,Very important,Neither or N/A,Neither or N/A,Neither or N/A,Somewhat unimportant,Very important,Very important,False,6.0,Walk,5.0,0.0,2.0,4.1,10073.0,94039.0,0.9084443736901296,0.6,Home,Other
20,17100052,1710005201,2017,Home in Seattle,King,1 person,0 (no vehicles),"Under $25,000","$10,000-$24,999",Rent,0,65-74 years,Female,Self-employed,"No, not a student",Graduate/post-graduate degree,"No, does not have a license or permit",White Only,White Only,,,,,,,,,,,,,,,,Very unimportant,Very important,Very unimportant,Very unimportant,Very unimportant,Very unimportant,Neither or N/A,Very important,Very important,False,30.0,Transit,1.0,0.0,1.0,4.1,25133.5,94039.0,0.9681059412324932,0.6666666666666666,Errand/Other,Other
21,17100059,1710005901,2017,Home in Seattle,King,1 person,0 (no vehicles),"$100,000 or more","$100,000-$149,999",Rent,0,25-34 years,Male,"Employed full time (35+ hours/week, paid)","No, not a student",Bachelor degree,"Yes, has a learner’s permit",Other,Other,5 days a week,,,,,,,,,,,,,,,Somewhat unimportant,Somewhat unimportant,Somewhat unimportant,Neither or N/A,Somewhat unimportant,Very unimportant,Somewhat unimportant,Very important,Very important,False,6.0,Walk,6.0,0.1875,2.0,3.8,7778.0,69409.0,0.21234451826308817,0.9411764705882353,Home,Lunch
22,17100137,1710013701,2017,Home in Seattle,King,1 person,1 vehicle,"Under $25,000","$10,000-$24,999",Own/paying mortgage,0,35-44 years,Female,"Employed part time (fewer than 35 hours/week, paid)","No, not a student",Vocational/technical training,"Yes, has an intermediate or unrestricted license",White Only,White Only,3 days a week,,,,,,,,,,,,,,,Very important,Very important,Very unimportant,Very unimportant,Very unimportant,Very unimportant,Neither or N/A,Very unimportant,Very important,False,10.0,Walk,2.0,0.5,1.5,3.05,62565.0,82892.0,0.6412010314348475,1.0,Work,Lunch
23,17101657,1710165701,2017,Home in Seattle,King,1 person,1 vehicle,"$50,000-$74,999","$50,000-$74,999",Own/paying mortgage,0,75-84 years,Male,Retired,"No, not a student",Graduate/post-graduate degree,"Yes, has an intermediate or unrestricted license",White Only,White Only,,,,,,,,,,,,,,,,Neither or N/A,Somewhat important,Very important,Very important,Very unimportant,Neither or N/A,Somewhat important,Neither or N/A,Somewhat important,False,15.0,Walk,3.0,0.0,2.0,3.6,4470.0,67860.0,0.4257683258254908,,Home,Other
24,17101667,1710166704,2017,Home in Seattle,King,4 people,4 vehicles,"$100,000 or more","$200,000-$249,999",Own/paying mortgage,0,18-24 years,Male,"Employed full time (35+ hours/week, paid)",Part-time student,High school graduate,"Yes, has an intermediate or unrestricted license",White Only,White Only,5 days a week,,,,,,,,,,,,,,,Very important,Neither or N/A,Somewhat unimportant,Very important,Very unimportant,Very important,Very unimportant,Somewhat important,Very important,False,10.0,SOV,3.0,0.25,2.0,4.1,5083.0,101117.0,9.837409934608633,1.3333333333333333,Work,Lunch
25,17101692,1710169201,2017,Home not in Seattle,King,2 people,2 vehicles,"$75,000-$99,999","$75,000-$99,999",Rent,0,25-34 years,Female,"Employed full time (35+ hours/week, paid)","No, not a student",Bachelor degree,"Yes, has an intermediate or unrestricted license",White Only,Missing,4 days a week,,,,,,,,,,,,,,,Somewhat important,Very important,Very important,Very important,Somewhat important,Very unimportant,Somewhat unimportant,Somewhat important,Somewhat important,False,15.0,HOV,2.0,0.0,2.0,3.3499999999999996,1592.0,55143.0,2.8324823010248523,0.6666666666666666,Home,Dinner
26,17101692,1710169202,2017,Home not in Seattle,King,2 people,2 vehicles,"$75,000-$99,999","$75,000-$99,999",Rent,0,25-34 years,Male,"Employed full time (35+ hours/week, paid)","No, not a student",Bachelor degree,"Yes, has an intermediate or unrestricted license",Missing,Missing,5 days a week,,,,,,,,,,,,,,,Somewhat important,Very important,Very important,Very important,Somewhat important,Very unimportant,Somewhat unimportant,Somewhat important,Somewhat important,False,15.0,HOV,2.0,0.0,1.0,3.9000000000000004,1592.0,55143.0,2.8324823010248523,1.0,Home,Dinner
27,17101697,1710169702,2017,Home not in Seattle,King,4 people,1 vehicle,"$100,000 or more","$100,000-$149,999",Rent,2,25-34 years,Male,"Employed full time (35+ hours/week, paid)","No, not a student",Bachelor degree,"Yes, has an intermediate or unrestricted license",White Only,White Only,5 days a week,,,,,,,,,,,,,,,Very important,Somewhat important,Somewhat unimportant,Neither or N/A,Neither or N/A,Somewhat important,Somewhat unimportant,Very important,Somewhat important,False,7.5,Walk,2.0,0.0,2.0,2.5,12152.0,86810.0,3.451187976880441,1.0,Work,Lunch
28,17101720,1710172001,2017,Home not in Seattle,King,2 people,1 vehicle,Prefer not to answer,Prefer not to answer,Own/paying mortgage,0,55-64 years,Female,Self-employed,"No, not a student",Associates degree,"Yes, has an intermediate or unrestricted license",White Only,White Only,6-7 days a week,,,,,,,,,,,,,,,Neither or N/A,Very important,Neither or N/A,Neither or N/A,Neither or N/A,Very important,Neither or N/A,Neither or N/A,Very important,False,22.5,HOV,2.0,0.0,2.0,3.5,827.5,86488.0,3.475436437884785,0.6666666666666666,Home,Lunch
29,17101720,1710172002,2017,Home not in Seattle,King,2 people,1 vehicle,Prefer not to answer,Prefer not to answer,Own/paying mortgage,0,75-84 years,Male,Retired,"No, not a student",Vocational/technical training,"No, does not have a license or permit",White Only,White Only,,,,,,,,,,,,,,,,Neither or N/A,Very important,Neither or N/A,Neither or N/A,Neither or N/A,Very important,Neither or N/A,Neither or N/A,Very important,False,22.5,HOV,1.0,0.0,2.0,3.8499999999999996,827.5,86488.0,3.475436437884785,0.6666666666666666,Home,Lunch
30,17101745,1710174501,2017,Home in Seattle,King,3 people,2 vehicles,"$25,000-$49,999","$25,000-$34,999",Rent,1,45-54 years,Female,"Employed part time (fewer than 35 hours/week, paid)","No, not a student",Less than high school,"Yes, has an intermediate or unrestricted license",Asian,Asian,6-7 days a week,,,,,,,,,,,,,,,Somewhat important,Somewhat important,Somewhat important,Neither or N/A,Somewhat important,Somewhat important,Neither or N/A,Neither or N/A,Neither or N/A,False,15.0,HOV,2.0,0.0,2.0,2.9,3160.5,52941.0,7.747571351994834,1.3333333333333333,Escort,Lunch
31,17101745,1710174502,2017,Home in Seattle,King,3 people,2 vehicles,"$25,000-$49,999","$25,000-$34,999",Rent,1,18-24 years,Female,"Employed part time (fewer than 35 hours/week, paid)",Full-time student,Bachelor degree,"Yes, has an intermediate or unrestricted license",Asian,Asian,2 days a week,,,,,,,,,,,,,,,Somewhat important,Somewhat important,Somewhat important,Neither or N/A,Somewhat important,Somewhat important,Neither or N/A,Neither or N/A,Neither or N/A,False,15.0,HOV,1.0,0.0,2.0,2.9,3212.5,64944.0,7.794641402457965,0.6666666666666666,Shop,Dinner
32,17101745,1710174503,2017,Home in Seattle,King,3 people,2 vehicles,"$25,000-$49,999","$25,000-$34,999",Rent,1,16-17 years,Male,,,,"Yes, has an intermediate or unrestricted license",Child,Asian,,,,,,,,,,,,,,,,Somewhat important,Somewhat important,Somewhat important,Neither or N/A,Somewhat important,Somewhat important,Neither or N/A,Neither or N/A,Neither or N/A,False,15.0,HOV,2.0,0.0,2.0,3.45,3212.5,64944.0,7.794641402457965,0.6666666666666666,Shop,Dinner
33,17101852,1710185201,2017,Home not in Seattle,King,4 people,1 vehicle,"$100,000 or more","$100,000-$149,999",Rent,2,35-44 years,Male,"Employed full time (35+ hours/week, paid)","No, not a student",Graduate/post-graduate degree,"Yes, has an intermediate or unrestricted license",White Only,White Only,5 days a week,,,,,,,,,,,,,,,Very important,Somewhat important,Somewhat important,Neither or N/A,Somewhat important,Very important,Very unimportant,Very important,Very important,False,5.0,HOV,2.0,0.5,1.5,2.95,4017.0,110956.0,0.253156292139534,0.3333333333333333,Home,Other
34,17101852,1710185202,2017,Home not in Seattle,King,4 people,1 vehicle,"$100,000 or more","$100,000-$149,999",Rent,2,35-44 years,Female,"Employed full time (35+ hours/week, paid)","No, not a student",Graduate/post-graduate degree,"Yes, has an intermediate or unrestricted license",White Only,White Only,4 days a week,,,,,,,,,,,,,,,Very important,Somewhat important,Somewhat important,Neither or N/A,Somewhat important,Very important,Very unimportant,Very important,Very important,False,5.0,HOV,2.0,0.0,2.0,4.1,4017.0,110956.0,0.253156292139534,0.4,Home,Other
35,17101855,1710185501,2017,Home not in Seattle,King,1 person,0 (no vehicles),"$25,000-$49,999","$35,000-$49,999",Rent,0,25-34 years,Male,"Employed full time (35+ hours/week, paid)","No, not a student",Bachelor degree,"Yes, has an intermediate or unrestricted license",White Only,White Only,3 days a week,,,,,,,,,,,,,,,Very important,Somewhat important,Somewhat unimportant,Very unimportant,Very unimportant,Very unimportant,Somewhat important,Very important,Very important,False,5.0,Walk,2.0,1.0,1.0,2.05,62565.0,82892.0,5.102374541445099,1.0,Work,Other
36,17101873,1710187302,2017,Home in Seattle,King,2 people,1 vehicle,Prefer not to answer,Prefer not to answer,Own/paying mortgage,0,25-34 years,Female,"Employed full time (35+ hours/week, paid)","No, not a student",Bachelor degree,"Yes, has an intermediate or unrestricted license",White Only,White Only,5 days a week,,,,,,,,,,,,,,,Very important,Very important,Very important,Very unimportant,Somewhat important,Somewhat important,Somewhat unimportant,Very important,Very important,False,6.0,SOV,3.0,0.0,2.0,3.7,5881.0,74319.0,5.254379705399348,0.21052631578947367,Work,Lunch
37,17101886,1710188601,2017,Home in Seattle,King,1 person,1 vehicle,"$100,000 or more","$150,000-$199,999",Own/paying mortgage,0,45-54 years,Female,"Employed full time (35+ hours/week, paid)","No, not a student",Bachelor degree,"Yes, has an intermediate or unrestricted license",White Only,White Only,5 days a week,,,,,,,,,,,,,,,Very important,Somewhat important,Somewhat important,Neither or N/A,Very important,Neither or N/A,Somewhat important,Very important,Very important,False,,,,,,,,,,,,
38,17100907,1710090701,2017,Home in Seattle,King,1 person,1 vehicle,Prefer not to answer,Prefer not to answer,Own/paying mortgage,0,35-44 years,Prefer not to answer,"Employed full time (35+ hours/week, paid)","No, not a student",Bachelor degree,"Yes, has an intermediate or unrestricted license",Missing,Missing,3 days a week,,,,,,,,,,,,,,,Very important,Somewhat important,Very important,Neither or N/A,Very important,Neither or N/A,Very important,Very important,Very important,False,10.0,Walk,6.0,0.08333333333333333,2.0,4.25,6961.5,68239.0,1.7804699757793991,0.631578947368421,Home,Other
39,17100942,1710094201,2017,Home in Seattle,King,1 person,0 (no vehicles),"$100,000 or more","$100,000-$149,999",Own/paying mortgage,0,35-44 years,Female,"Employed full time (35+ hours/week, paid)","No, not a student",Graduate/post-graduate degree,"Yes, has an intermediate or unrestricted license",Asian,Asian,4 days a week,,,,,,,,,,,,,,,Very important,Somewhat important,Somewhat important,Neither or N/A,Neither or N/A,Very unimportant,Very unimportant,Very important,Very important,False,5.5,Walk,5.0,0.0,2.0,3.75,32836.75,61915.0,0.577738271586977,0.25806451612903225,Home,Lunch
40,17100957,1710095701,2017,Home in Seattle,King,2 people,0 (no vehicles),"Under $25,000","$10,000-$24,999",Rent,0,35-44 years,Male,"Employed part time (fewer than 35 hours/week, paid)",Full-time student,Bachelor degree,"Yes, has an intermediate or unrestricted license",Asian,Asian,4 days a week,,,,,,,,,,,,,,,Very important,Very important,Very important,Neither or N/A,Neither or N/A,Very important,Very important,Very important,Very important,False,10.0,Walk,4.0,0.0,3.0,3.8,4470.0,67860.0,0.1629703284474648,0.8333333333333334,Work,Other
41,17100957,1710095702,2017,Home in Seattle,King,2 people,0 (no vehicles),"Under $25,000","$10,000-$24,999",Rent,0,35-44 years,Male,"Employed part time (fewer than 35 hours/week, paid)","No, not a student",Bachelor degree,"Yes, has an intermediate or unrestricted license",White Only,Asian,4 days a week,,,,,,,,,,,,,,,Very important,Very important,Very important,Neither or N/A,Neither or N/A,Very important,Very important,Very important,Very important,False,10.0,Walk,2.0,0.0,2.0,3.8,4470.0,67860.0,0.0483484426771266,0.6,Home,Other
42,17100964,1710096401,2017,Home not in Seattle,King,2 people,2 vehicles,"$100,000 or more","$100,000-$149,999",Rent,0,25-34 years,Male,"Employed full time (35+ hours/week, paid)","No, not a student",Bachelor degree,"Yes, has an intermediate or unrestricted license",White Only,White Only,5 days a week,,,,,,,,,,,,,,,Very important,Somewhat important,Somewhat unimportant,Very unimportant,Somewhat important,Very unimportant,Somewhat unimportant,Somewhat important,Very important,False,,,,,,,,,,,,
43,17100964,1710096402,2017,Home not in Seattle,King,2 people,2 vehicles,"$100,000 or more","$100,000-$149,999",Rent,0,25-34 years,Female,"Employed full time (35+ hours/week, paid)","No, not a student",Bachelor degree,"Yes, has an intermediate or unrestricted license",White Only,White Only,5 days a week,,,,,,,,,,,,,,,Very important,Somewhat important,Somewhat unimportant,Very unimportant,Somewhat important,Very unimportant,Somewhat unimportant,Somewhat important,Very important,False,15.0,Walk,6.0,0.14285714285714285,2.0,3.9,6909.0,129235.0,3.2766514065635235,0.7777777777777778,Work,Lunch
44,17100986,1710098601,2017,Home in Seattle,King,1 person,1 vehicle,"$25,000-$49,999","$25,000-$34,999",Rent,0,25-34 years,Female,"Employed part time (fewer than 35 hours/week, paid)",Full-time student,Bachelor degree,"Yes, has an intermediate or unrestricted license",White Only,White Only,3 days a week,,,,,,,,,,,,,,,Somewhat unimportant,Very important,Somewhat unimportant,Very unimportant,Very unimportant,Very unimportant,Somewhat important,Somewhat important,Somewhat important,False,8.0,HOV,4.0,0.16666666666666666,2.0,4.0,3626.0,95764.0,0.4649847843434461,0.35294117647058826,Home,Other
45,17101086,1710108601,2017,Home in Seattle,King,3 people,1 vehicle,"$100,000 or more","$100,000-$149,999",Own/paying mortgage,1,25-34 years,Female,"Employed full time (35+ hours/week, paid)","No, not a student",Graduate/post-graduate degree,"Yes, has an intermediate or unrestricted license",White Only,White Only,5 days a week,,,,,,,,,,,,,,,Very important,Somewhat important,Somewhat important,Neither or N/A,Somewhat important,Neither or N/A,Somewhat unimportant,Very important,Very important,False,14.0,Walk,2.0,0.25,2.0,3.2,11011.5,91932.0,7.506116268339299,0.125,Home,Dinner
46,17101086,1710108602,2017,Home in Seattle,King,3 people,1 vehicle,"$100,000 or more","$100,000-$149,999",Own/paying mortgage,1,25-34 years,Male,"Employed full time (35+ hours/week, paid)","No, not a student",Bachelor degree,"Yes, has an intermediate or unrestricted license",White Only,White Only,5 days a week,,,,,,,,,,,,,,,Very important,Somewhat important,Somewhat important,Neither or N/A,Somewhat important,Neither or N/A,Somewhat unimportant,Very important,Very important,False,7.0,SOV,4.0,0.125,2.0,4.0,30652.0,92347.0,2.945570309533931,0.38095238095238093,Work,Lunch
47,17101086,1710108603,2017,Home in Seattle,King,3 people,1 vehicle,"$100,000 or more","$100,000-$149,999",Own/paying mortgage,1,Under 5 years old,Male,,,,,Child,White Only,,,,,,,,,,,,,,,,Very important,Somewhat important,Somewhat important,Neither or N/A,Somewhat important,Neither or N/A,Somewhat unimportant,Very important,Very important,False,12.5,Walk,2.0,0.0,2.0,4.0,11011.5,91932.0,7.506116268339299,0.13793103448275862,Social/Recreation,Dinner
48,17101130,1710113001,2017,Home not in Seattle,King,1 person,1 vehicle,"$100,000 or more","$100,000-$149,999",Rent,0,35-44 years,Female,Self-employed,"No, not a student",Bachelor degree,"Yes, has an intermediate or unrestricted license",Other,Other,,,,,,,,,,,,,,,,Somewhat important,Very important,Somewhat important,Very unimportant,Somewhat unimportant,Very unimportant,Somewhat important,Somewhat important,Very important,False,11.5,SOV,6.0,0.08333333333333333,2.0,4.0,3773.5,83279.0,2.2619984536077045,0.3333333333333333,Home,Lunch
49,17101213,1710121302,2017,Home not in Seattle,Pierce,2 people,1 vehicle,"$50,000-$74,999","$50,000-$74,999",Rent,0,25-34 years,Male,"Employed full time (35+ hours/week, paid)","No, not a student",Bachelor degree,"Yes, has an intermediate or unrestricted license",White Only,White Only,4 days a week,,,,,,,,,,,,,,,Somewhat important,Very important,Somewhat important,Neither or N/A,Very unimportant,Neither or N/A,Somewhat important,Very important,Very important,False,12.5,Walk,2.0,0.0,1.5,4.1,62565.0,82892.0,24.456020034489814,1.0,Work,Lunch
