,person_id,pct_fast_food,med_price,med_rating,diversity_food_cat,travel_time,rest_nonrest_trips,mode,trip_purp,tod,rest_empl_pop,rest_inc,dist_from_home,home_fd,numchildren,veh_hh_ratio,age_1,age_2,age_3,age_4,age_5,male,female,gender_other,white,asian,hispanic,black,race_other,income_1,income_2,income_3,income_4,full_time,part_time,homemaker,unemployed
43,1710096402,0.1428571428571428,2.0,3.9,6.0,15.0,0.7777777777777778,2,4,2,6909.0,129235.0,3.2766514065635235,0,0,1.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
44,1710098601,0.1666666666666666,2.0,4.0,4.0,8.0,0.3529411764705882,5,2,3,3626.0,95764.0,0.4649847843434461,0,0,1.0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
45,1710108601,0.25,2.0,3.2,2.0,14.0,0.125,2,2,4,11011.5,91932.0,7.506116268339299,0,1,0.3333333333333333,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
46,1710108602,0.125,2.0,4.0,4.0,7.0,0.3809523809523809,1,4,2,30652.0,92347.0,2.945570309533931,0,1,0.3333333333333333,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
48,1710113001,0.0833333333333333,2.0,4.0,6.0,11.5,0.3333333333333333,1,2,2,3773.5,83279.0,2.2619984536077045,0,0,1.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
49,1710121302,0.0,1.5,4.1,2.0,12.5,1.0,2,4,2,62565.0,82892.0,24.456020034489818,0,0,0.5,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
51,1710124001,0.5,2.0,3.95,2.0,15.0,0.1818181818181818,1,2,4,7094.5,49591.0,2.7932253744297055,1,0,2.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
52,1710124002,0.0,2.0,2.9,1.0,12.5,0.2222222222222222,5,3,4,7094.5,49591.0,2.7932253744297055,1,0,2.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
53,1710125001,0.0,1.0,2.6,1.0,32.5,0.5,2,3,3,4470.0,67860.0,4.256480975278458,0,0,1.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
54,1710023801,0.0,2.0,4.199999999999999,2.0,27.5,2.0,5,1,3,3247.5,53697.0,9.679522644941496,0,0,1.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
55,1710023802,0.5,1.0,3.55,2.0,27.5,2.0,5,1,3,3247.5,53697.0,9.679522644941496,0,0,1.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
56,1710024801,0.0,2.0,4.0,6.0,7.0,0.68,2,2,2,4017.0,67860.0,0.3632193394319821,0,0,0.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
57,1710025501,0.5,1.5,2.5,3.0,15.0,1.5,2,4,3,24673.0,125250.0,4.7535154060414495,0,0,1.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
58,1710030301,0.25,2.0,3.65,4.0,11.0,0.2142857142857142,5,5,3,2568.0,67087.0,6.9807522583256345,0,0,1.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
59,1710030302,0.0,2.0,3.8,3.0,10.0,0.088235294117647,5,2,3,24673.0,125250.0,10.020040403623218,0,0,1.0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
60,1710034201,0.0,3.0,4.65,2.0,12.5,0.0588235294117647,5,5,3,2209.0,82367.0,3.4603312709288607,0,0,1.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
61,1710034202,0.375,2.0,4.15,5.0,18.0,0.25,5,2,3,6449.75,89556.0,5.424012858424794,0,0,1.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
62,1710041001,0.1666666666666666,1.0,4.25,4.0,11.0,0.3,2,2,3,4470.0,67860.0,0.7134174179477215,0,0,0.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
63,1710041801,0.0,1.0,3.7,2.0,20.0,0.5,2,5,3,3530.0,26413.0,8.644442782350485,0,0,1.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
65,1710132501,0.0,1.5,4.35,2.0,30.0,0.054054054054054,1,2,3,44785.0,125292.0,2.6705134940932167,0,0,0.5,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
66,1710133501,0.0,2.0,3.05,2.0,10.0,2.0,2,4,4,24673.0,125250.0,0.7357440854814672,0,0,0.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
67,1710137501,0.0,1.5,2.75,2.0,3.0,0.0526315789473684,5,2,4,2538.0,89500.0,0.3856530359578131,0,2,0.5,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
68,1710137502,0.4,2.0,3.5,3.0,8.0,0.1612903225806451,2,4,2,4826.0,60349.0,3.896634492836575,0,2,0.5,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
70,1710137901,0.0,2.0,4.4,1.0,15.0,0.2,2,4,2,37174.0,121478.0,7.031813488392258,0,2,0.5,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
71,1710150401,0.0,2.0,3.95,2.0,5.0,0.5,2,4,2,21498.0,92656.0,4.8978528833724235,0,2,0.25,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
72,1710150402,0.25,2.0,3.65,4.0,7.5,0.6666666666666666,2,4,2,11113.25,114891.5,2.6440080024072894,0,2,0.25,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
74,1710161901,0.0,2.0,3.5,1.0,9.5,0.1666666666666666,2,4,2,37174.0,121478.0,5.905550468801235,0,0,1.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
75,1710162601,0.25,2.0,3.95,4.0,5.5,0.125,1,5,3,4744.5,71223.5,7.217194093654372,0,0,0.5,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
76,1710162602,0.0,2.0,4.4,2.0,4.0,0.1333333333333333,2,4,3,19622.0,117908.0,3.0554563760806266,0,0,0.5,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
77,1710059001,0.0,2.0,4.2,2.0,16.5,0.1142857142857142,5,2,4,6185.0,116968.5,3.3575035670228734,0,0,1.0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
78,1710065201,0.0,1.0,3.7,1.0,7.0,0.0212765957446808,5,2,4,2179.5,61314.0,3.3174462513436596,0,1,0.3333333333333333,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
79,1710065202,0.0,2.0,4.0,1.0,11.0,0.037037037037037,5,2,4,2179.5,61314.0,3.3129440987034267,0,1,0.3333333333333333,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
81,1710066301,0.0,1.5,2.45,2.0,12.5,0.6666666666666666,2,4,2,44785.0,125292.0,2.4287734691904515,0,0,1.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
82,1710067501,0.1666666666666666,1.0,3.6,7.0,8.5,0.631578947368421,1,2,1,2380.75,111759.5,3.5568617421374853,0,0,1.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
83,1710068101,0.5,2.0,2.6,2.0,30.0,2.0,2,4,3,62565.0,82892.0,6.9835558258946415,0,0,0.5,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
84,1710076001,0.5,1.0,2.9,2.0,22.5,0.3333333333333333,1,3,2,3108.5,40938.0,4.348426529035224,0,1,0.75,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
85,1710076101,0.0,1.5,4.4,2.0,10.0,0.1428571428571428,1,1,4,800.5,151134.0,3.128375856846025,0,2,0.5,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
86,1710083401,0.0,2.0,3.8,5.0,17.0,0.6470588235294118,5,2,3,6961.5,68239.0,4.310852848081722,0,0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
87,1710083402,0.0,2.0,3.8,5.0,15.0,0.2647058823529412,5,4,2,6961.5,69409.0,4.319154905869882,0,0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
88,1710083701,0.5,1.5,3.3,2.0,5.0,0.6666666666666666,2,4,2,4470.0,67860.0,0.6942150077858201,0,0,2.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
89,1710086801,0.1111111111111111,2.0,3.6,3.0,20.0,0.6428571428571429,5,2,3,43826.0,60000.0,9.519683929468169,0,0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
90,1710086802,0.25,2.0,3.95,3.0,16.0,0.4444444444444444,2,2,2,41093.5,100400.0,0.3169433698406102,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
91,1710517202,0.0,2.0,2.95,2.0,12.0,0.0714285714285714,5,2,2,10895.0,123179.0,1.7380301029104086,0,0,1.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
92,1710520501,0.0,2.0,3.4,2.0,26.5,0.2,5,2,4,2191.0,98698.0,2.064655918345676,0,0,1.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
93,1710520701,0.0,1.5,2.8,3.0,20.5,0.1428571428571428,1,2,1,1233.0,75162.0,0.1539684088341546,0,0,1.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
94,1710522101,0.0,2.0,3.7,7.0,7.0,0.3939393939393939,5,2,4,687.0,126623.0,2.7742347499526647,0,0,2.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
96,1710524601,0.0,2.0,3.85,2.0,17.5,0.3333333333333333,2,4,2,559.5,34461.0,1.9284650521607447,0,0,1.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
100,1710528001,0.0,2.5,3.3,2.0,10.0,0.25,5,3,3,402.0,125137.0,0.2490085846342653,0,0,0.5,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
102,1710529801,0.0,1.0,3.8,1.0,15.0,0.2857142857142857,2,5,4,9791.0,96745.0,5.476115817058383,0,0,1.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
103,1710531001,0.5,1.0,3.5999999999999996,2.0,27.5,1.0,2,4,3,6322.0,90024.0,2.1354340725593515,0,0,1.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
104,1710531601,0.25,2.0,3.55,3.0,12.5,0.25,5,4,2,13106.0,122955.5,4.185181986467737,0,0,0.5,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
105,1710531602,0.0,2.0,4.1,3.0,12.0,0.1212121212121212,5,2,2,15431.75,89528.5,9.648184387935594,0,0,0.5,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
107,1710544301,0.0,2.5,2.6,2.0,25.0,0.5,2,5,2,10895.0,123179.0,0.7681555814968943,0,0,1.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
108,1710544501,0.0,1.5,4.3,2.0,10.0,1.0,2,4,2,25133.5,94039.0,10.142692658292228,0,2,0.5,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
111,1710548302,0.1428571428571428,2.0,4.1,6.0,14.0,0.21875,5,2,4,4031.5,69409.0,1.589577467325095,0,0,0.5,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
112,1710554901,0.0,4.0,4.2,2.0,12.0,0.1764705882352941,2,2,3,62565.0,82892.0,0.2559860818959535,0,0,1.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0
113,1710561401,0.0,2.0,4.05,2.0,10.5,0.0869565217391304,2,2,3,21498.0,92656.0,0.062570562149691,0,0,1.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
114,1710564501,0.0,1.5,4.3,2.0,49.0,0.074074074074074,3,4,3,3285.5,44114.0,5.780604068958311,0,0,0.6666666666666666,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
116,1710565801,0.0,1.5,4.35,2.0,47.5,0.5,2,5,2,12152.0,86810.0,2.379460286477508,0,0,2.0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
118,1710586401,0.1538461538461538,1.0,3.9,4.0,12.0,0.6842105263157895,2,2,1,1592.0,117908.0,3.709816054728472,0,1,0.3333333333333333,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
119,1710586402,0.0,2.0,4.2,3.0,13.0,0.16,5,2,3,794.75,116623.0,1.5763830879809646,0,1,0.3333333333333333,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
121,1710588901,0.5,1.5,3.55,2.0,17.5,1.0,3,2,3,893.0,53312.0,1.4655796073582503,0,0,0.0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
122,1710465802,0.5,1.0,3.2,3.0,5.0,1.3333333333333333,1,4,3,7443.5,60181.5,4.747231870091032,0,0,1.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
123,1710250201,0.2,1.0,3.5,4.0,8.0,0.1351351351351351,1,2,3,3622.5,61964.0,1.1077702793034032,0,0,1.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
124,1710287201,0.0,2.0,3.65,4.0,20.0,1.3333333333333333,2,4,2,36178.0,89818.5,2.0331023379015316,0,1,0.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
125,1710254901,0.25,1.5,4.0,4.0,17.0,0.2352941176470588,2,4,2,19622.0,117908.0,4.0110621847822685,0,0,1.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
127,1710254902,0.375,1.0,2.1,4.0,10.0,0.4705882352941176,2,4,4,14896.75,92656.0,4.304331701312552,0,0,1.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
129,1710257701,0.0,1.0,3.7,2.0,16.0,0.1666666666666666,5,3,4,11357.0,93950.0,4.7635055176011125,0,2,0.75,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
130,1710257702,0.25,1.5,2.4,3.0,16.5,0.3636363636363636,5,2,4,827.5,91429.0,3.473037741069927,0,2,0.75,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
132,1710261801,1.0,1.0,1.6,1.0,14.0,0.074074074074074,1,5,3,7732.0,119609.0,6.1884463402654335,0,0,1.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0
134,1710263001,0.0,2.0,3.7,3.0,23.5,0.2666666666666666,1,2,4,3754.75,125435.0,5.371453934273179,0,0,1.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
135,1710269501,0.0,1.0,3.6,1.0,10.0,0.4,1,5,3,3285.5,44114.0,0.7006657268495983,0,1,0.6666666666666666,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
136,1710269502,0.0,2.0,3.5,1.0,15.0,0.6666666666666666,5,3,1,2485.0,50676.0,1.3060657937616558,0,1,0.6666666666666666,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
140,1710281901,0.0,1.0,3.7,2.0,11.0,0.1875,1,2,3,10895.0,123179.0,3.0807244914327754,0,1,1.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
141,1710281902,0.0833333333333333,1.0,3.3,6.0,8.0,0.3,1,4,3,7732.0,119609.0,4.28470062777222,0,1,1.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
143,1710468301,0.0,2.0,4.35,2.0,12.5,0.6666666666666666,2,4,2,6650.0,72155.0,11.955503564744886,0,2,0.5,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
144,1710470601,0.0,2.0,3.95,2.0,5.0,2.0,2,2,1,62565.0,82892.0,0.051065776803427,0,0,0.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
145,1710482401,0.5,1.5,2.85,2.0,12.5,0.6666666666666666,1,2,4,43826.0,60000.0,11.489273826144304,0,0,1.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
147,1710494501,0.1428571428571428,2.0,3.2,4.0,15.0,0.4117647058823529,2,2,4,859.0,136528.0,0.6569282256096125,0,0,1.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
148,1710494502,0.0,2.0,3.55,2.0,12.5,0.1052631578947368,2,2,2,2456.0,72850.0,0.509360779687888,0,0,1.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
149,1710506401,0.6153846153846154,1.0,2.9,4.0,11.0,0.5652173913043478,2,2,3,19622.0,96745.0,0.8505332061553951,0,0,1.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
151,1710517201,0.5,2.0,3.45,1.0,12.5,0.0833333333333333,5,2,2,10895.0,123179.0,1.728453511171337,0,0,1.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
152,1710408801,0.5,1.5,3.35,2.0,6.0,0.2,5,5,3,1900.0,121492.0,5.363447166926127,0,0,1.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
154,1710417101,0.0,2.0,4.0,5.0,16.0,0.2972972972972973,5,5,2,2083.0,95764.0,1.4055389929581676,0,0,2.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
158,1710428101,0.5,1.5,2.8499999999999996,1.0,10.0,0.6666666666666666,2,4,2,44785.0,125292.0,2.190040062281947,0,0,1.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
159,1710290801,0.5,2.0,3.0,2.0,10.0,0.4,2,2,2,62565.0,82892.0,0.4908401269801302,0,0,1.0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
160,1710293201,0.5,1.5,3.15,2.0,45.0,0.3333333333333333,3,2,4,4470.0,67860.0,1.3630305897505883,0,0,2.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
163,1710298801,0.0,2.0,3.7,3.0,25.0,1.0,1,2,3,22270.5,89299.5,10.190501647639191,0,0,2.5,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
164,1710298802,0.5,1.5,3.1,2.0,27.5,2.0,5,5,3,715.0,118599.0,13.88932190285296,0,0,2.5,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
165,1710302201,0.5,2.0,3.1,2.0,5.0,0.4,2,4,2,37174.0,121478.0,5.581479693784346,0,0,0.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
169,1710305001,0.25,2.0,3.5,3.0,9.0,0.125,1,4,2,40979.5,123385.0,4.137413214450498,0,2,0.3333333333333333,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
170,1710330201,0.0,1.5,2.75,1.0,7.5,0.0714285714285714,5,3,2,3626.0,95764.0,0.2988324747593519,0,0,1.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
171,1710341502,0.0,2.0,3.9,5.0,12.0,0.1555555555555555,5,1,2,3942.0,109523.0,4.225357082074556,0,0,1.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
